,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_COUNTRY,ORIGIN_COUNTRY_NAME,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_COUNTRY,DEST_COUNTRY_NAME,DEST_WAC,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,DATA_SOURCE,Unnamed: 50
7,0.0,1.0,5150.0,14.0,5.0,0.0,0.0,5341.0,0.0,0.0,17Q,21447.0,Albinati Aeronautics SA,71098,I,17Q,Albinati Aeronautics SA,0,0.0,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,US,United States,74,12987,1298704,32987,LIN,"Milan, Italy",,,,IT,Italy,450,6,658,1,2015,1,1,11,L,IF,
10,0.0,1.0,5150.0,14.0,6.0,0.0,0.0,5973.0,0.0,0.0,17Q,21447.0,Albinati Aeronautics SA,71098,I,17Q,Albinati Aeronautics SA,0,0.0,12987,1298704,32987,LIN,"Milan, Italy",,,,IT,Italy,450,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,6,658,1,2015,1,1,12,L,IF,
18,0.0,4.0,404800.0,1260.0,558.0,0.0,0.0,5713.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,US,United States,85,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,6,696,1,2015,1,1,12,F,IF,
19,0.0,9.0,910800.0,2835.0,1666.0,2882.0,0.0,4879.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,15304,1530402,33195,TPA,"Tampa, FL",FL,12.0,Florida,US,United States,33,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,6,696,1,2015,1,1,10,F,IF,
20,0.0,4.0,404800.0,1260.0,833.0,0.0,0.0,5713.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,US,United States,85,6,696,1,2015,1,1,12,F,IF,
21,0.0,9.0,910800.0,2835.0,1758.0,39954.0,0.0,4879.0,0.0,0.0,8R,20234.0,Edelweiss Air Ag,9486F,I,8R,Edelweiss Air Ag,0,0.0,16321,1632103,36321,ZRH,"Zurich, Switzerland",,,,CH,Switzerland,486,15304,1530402,33195,TPA,"Tampa, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
23,0.0,29.0,2557427.0,8525.0,7094.0,621786.0,0.0,4733.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
24,0.0,12.0,1049765.0,3569.0,2435.0,224246.0,0.0,4757.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
27,0.0,29.0,3020211.0,8530.0,7791.0,455231.0,0.0,4733.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,10,F,IF,
28,0.0,22.0,2294431.0,6480.0,5596.0,507333.0,0.0,4974.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,10,F,IF,
29,0.0,14.0,1466137.0,4130.0,2468.0,249731.0,0.0,4413.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,9,F,IF,
30,0.0,12.0,1250181.0,3569.0,2770.0,102414.0,0.0,4757.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12.0,Florida,US,United States,33,11444,1144404,30970,DUS,"Dusseldorf, Germany",,,,DE,Germany,429,6,696,1,2015,1,1,10,F,IF,
32,0.0,22.0,1924391.0,6485.0,5006.0,286066.0,0.0,4974.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,6,696,1,2015,1,1,10,F,IF,
33,0.0,14.0,1435498.0,4130.0,2791.0,310264.0,0.0,4413.0,0.0,0.0,AB,21361.0,Air Berlin PLC and CO,71074,I,AB,Air Berlin PLC and CO,0,0.0,15402,1540203,30549,TXL,"Berlin, Germany",,,,DE,Germany,429,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,6,696,1,2015,1,1,9,F,IF,
37,0.0,61.0,5365411.0,18353.0,16933.0,571685.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,627,1,2015,1,1,9,F,IF,
38,0.0,1.0,206281.0,0.0,0.0,110205.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,683,2,2015,1,1,9,G,IF,
39,0.0,4.0,912085.0,0.0,0.0,670303.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,8,820,2,2015,1,1,9,G,IF,
42,0.0,61.0,5365411.0,18353.0,16827.0,1274568.0,0.0,4395.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,6,627,1,2015,1,1,9,F,IF,
50,0.0,21.0,1718024.0,5220.0,3664.0,488906.0,0.0,5026.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,6,627,1,2015,1,1,11,F,IF,
51,0.0,7.0,786001.0,2103.0,1971.0,285681.0,0.0,5026.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,6,637,1,2015,1,1,11,F,IF,
52,0.0,3.0,681661.0,0.0,0.0,342533.0,0.0,5026.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,8,820,2,2015,1,1,11,G,IF,
57,0.0,14.0,1244905.0,4326.0,3847.0,164256.0,0.0,5670.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,6,627,1,2015,1,1,12,F,IF,
58,0.0,31.0,4054899.0,15996.0,13913.0,423487.0,0.0,5670.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,8,882,1,2015,1,1,12,F,IF,
59,0.0,27.0,3470887.0,13836.0,12888.0,413138.0,0.0,4589.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,8,882,1,2015,1,1,10,F,IF,
60,0.0,20.0,4124014.0,0.0,0.0,3129940.0,0.0,4153.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,6,683,2,2015,1,1,9,G,IF,
61,0.0,1.0,228021.0,0.0,0.0,156101.0,0.0,4153.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,8,820,2,2015,1,1,9,G,IF,
62,0.0,1.0,228021.0,0.0,0.0,189248.0,0.0,4153.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,8,820,2,2015,1,1,9,P,IF,
63,0.0,28.0,2489810.0,8652.0,7594.0,301798.0,0.0,5583.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,6,627,1,2015,1,1,12,F,IF,
69,0.0,21.0,1718024.0,5220.0,3545.0,525681.0,0.0,5026.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,627,1,2015,1,1,11,F,IF,
70,0.0,7.0,785400.0,2100.0,1585.0,212934.0,0.0,5026.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,637,1,2015,1,1,11,F,IF,
71,0.0,10.0,2279011.0,0.0,0.0,1681383.0,0.0,5026.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,8,820,2,2015,1,1,11,G,IF,
79,0.0,13.0,1155983.0,4017.0,3471.0,78426.0,0.0,5670.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,627,1,2015,1,1,12,F,IF,
80,0.0,31.0,4054899.0,15996.0,13433.0,301981.0,0.0,5670.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,8,882,1,2015,1,1,12,F,IF,
81,0.0,14.0,1232585.0,4326.0,3298.0,132158.0,0.0,4095.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,14228,1422802,34228,PPT,"Papeete, French Polynesia",,,,PF,French Polynesia,823,6,627,1,2015,1,1,9,F,IF,
85,0.0,27.0,3479696.0,13880.0,12596.0,303890.0,0.0,4589.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,8,882,1,2015,1,1,10,F,IF,
87,0.0,5.0,1031404.0,0.0,0.0,724332.0,0.0,4153.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,683,2,2015,1,1,9,G,IF,
88,0.0,1.0,226820.0,0.0,0.0,140235.0,0.0,4153.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,8,820,2,2015,1,1,9,P,IF,
94,0.0,13.0,1155983.0,4017.0,2764.0,21228.0,0.0,4095.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,14228,1422802,34228,PPT,"Papeete, French Polynesia",,,,PF,French Polynesia,823,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,6,627,1,2015,1,1,9,F,IF,
95,0.0,28.0,2489810.0,8652.0,7181.0,196297.0,0.0,5583.0,0.0,0.0,AF,19532.0,Compagnie Natl Air France,9427B,I,AF,Compagnie Natl Air France,0,0.0,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,10920,1092003,30920,CDG,"Paris, France",,,,FR,France,427,6,627,1,2015,1,1,12,F,IF,
99,0.0,2.0,484000.0,0.0,0.0,188773.0,0.0,5069.0,0.0,0.0,C8,21580.0,Cargolux Italia SpA,71128,I,C8,Cargolux Italia SpA,0,0.0,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,US,United States,74,13113,1311302,33113,LUX,"Luxembourg, Luxembourg",,,,LU,Luxembourg,454,8,820,2,2015,1,1,11,G,IF,
101,0.0,2.0,484000.0,0.0,0.0,70272.0,0.0,5069.0,0.0,0.0,C8,21580.0,Cargolux Italia SpA,71128,I,C8,Cargolux Italia SpA,0,0.0,13113,1311302,33113,LUX,"Luxembourg, Luxembourg",,,,LU,Luxembourg,454,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,US,United States,74,8,820,2,2015,1,1,11,G,IF,
103,0.0,4.0,968000.0,0.0,0.0,386164.0,0.0,4523.0,0.0,0.0,C8,21580.0,Cargolux Italia SpA,71128,I,C8,Cargolux Italia SpA,0,0.0,13560,1356003,32987,MXP,"Milan, Italy",,,,IT,Italy,450,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,8,820,2,2015,1,1,10,G,IF,
106,0.0,35.0,7700000.0,0.0,0.0,7401326.0,0.0,4308.0,0.0,0.0,CK,20362.0,China Cargo Airline,9713D,I,CK,China Cargo Airline,0,0.0,10299,1029904,30299,ANC,"Anchorage, AK",AK,2.0,Alaska,US,United States,1,14309,1430902,34309,PVG,"Shanghai, China",,,,CN,China,713,8,819,2,2015,1,1,9,G,IF,
107,0.0,39.0,8151000.0,0.0,0.0,4319724.0,0.0,6485.0,0.0,0.0,CK,20362.0,China Cargo Airline,9713D,I,CK,China Cargo Airline,0,0.0,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,14309,1430902,34309,PVG,"Shanghai, China",,,,CN,China,713,6,683,2,2015,1,1,13,G,IF,
109,0.0,35.0,8470000.0,0.0,0.0,7999108.0,0.0,4308.0,0.0,0.0,CK,20362.0,China Cargo Airline,9713D,I,CK,China Cargo Airline,0,0.0,14309,1430902,34309,PVG,"Shanghai, China",,,,CN,China,713,10299,1029904,30299,ANC,"Anchorage, AK",AK,2.0,Alaska,US,United States,1,8,819,2,2015,1,1,9,G,IF,
110,0.0,39.0,8151000.0,0.0,0.0,7392301.0,0.0,6485.0,0.0,0.0,CK,20362.0,China Cargo Airline,9713D,I,CK,China Cargo Airline,0,0.0,14309,1430902,34309,PVG,"Shanghai, China",,,,CN,China,713,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,6,683,2,2015,1,1,13,G,IF,
111,0.0,1.0,0.0,177.0,0.0,0.0,0.0,4084.0,0.0,0.0,G3,21605.0,VRG Linhas Aereas S A,71136,I,G3,VRG Linhas Aereas S A,0,0.0,10559,1055902,30559,BFI,"Seattle, WA",WA,53.0,Washington,US,United States,93,10911,1091102,30911,CCS,"Caracas, Venezuela",,,,VE,Venezuela,388,6,614,1,2015,1,1,9,F,IF,
122,0.0,1.0,4444.0,16.0,5.0,0.0,0.0,4086.0,0.0,0.0,GBQ,20266.0,G5 Executive Ag,9486H,I,GBQ,G5 Executive Ag,0,0.0,15024,1502403,34945,STT,"Charlotte Amalie, VI",VI,78.0,U.S. Virgin Islands,US,United States,4,11488,1148802,31488,EDI,"Edinburgh, United Kingdom",,,,GB,United Kingdom,493,6,671,1,2015,1,1,9,L,IF,
125,0.0,28.0,3028925.0,8902.0,6897.0,806221.0,0.0,4401.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,6,627,1,2015,1,1,9,F,IF,
126,0.0,2.0,287707.0,850.0,459.0,86412.0,0.0,4401.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,6,637,1,2015,1,1,9,F,IF,
127,0.0,22.0,1766600.0,5346.0,5053.0,379678.0,0.0,4401.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,6,696,1,2015,1,1,9,F,IF,
130,0.0,31.0,4313650.0,8308.0,6737.0,2036111.0,0.0,5012.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,8,819,3,2015,1,1,11,F,IF,
135,0.0,31.0,4313650.0,8308.0,7849.0,1700486.0,0.0,5578.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,8,819,3,2015,1,1,12,F,IF,
136,0.0,22.0,3061300.0,5896.0,5347.0,1248207.0,0.0,4120.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,8,819,3,2015,1,1,9,F,IF,
137,0.0,13.0,975260.0,3796.0,3328.0,177531.0,0.0,5473.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,6,687,1,2015,1,1,11,F,IF,
138,0.0,14.0,1108800.0,3402.0,3213.0,141610.0,0.0,5473.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,6,696,1,2015,1,1,11,F,IF,
139,0.0,28.0,3028925.0,8902.0,7904.0,265958.0,0.0,4401.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,6,627,1,2015,1,1,9,F,IF,
140,0.0,2.0,287707.0,850.0,552.0,50142.0,0.0,4401.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,6,637,1,2015,1,1,9,F,IF,
141,0.0,22.0,1969686.0,5346.0,4676.0,148023.0,0.0,4401.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,10397,1039705,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,US,United States,34,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,6,696,1,2015,1,1,9,F,IF,
145,0.0,31.0,4313650.0,8308.0,5956.0,1599789.0,0.0,5012.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,12266,1226603,31453,IAH,"Houston, TX",TX,48.0,Texas,US,United States,74,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,8,819,3,2015,1,1,11,F,IF,
150,0.0,31.0,4313650.0,8308.0,7158.0,1141637.0,0.0,5578.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,US,United States,91,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,8,819,3,2015,1,1,12,F,IF,
151,0.0,22.0,3061300.0,5896.0,4479.0,1127676.0,0.0,4120.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,13930,1393003,30977,ORD,"Chicago, IL",IL,17.0,Illinois,US,United States,41,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,8,819,3,2015,1,1,9,F,IF,
152,0.0,13.0,1078220.0,3796.0,2994.0,126249.0,0.0,5473.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,6,687,1,2015,1,1,11,F,IF,
153,0.0,14.0,1225840.0,3402.0,3116.0,142923.0,0.0,5473.0,0.0,0.0,KL,19551.0,Klm Royal Dutch Airlines,9461A,I,KL,Klm Royal Dutch Airlines,0,0.0,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,US,United States,91,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,6,696,1,2015,1,1,11,F,IF,
154,0.0,13.0,1271270.0,3549.0,2043.0,164470.0,0.0,6352.0,0.0,0.0,KU,19616.0,Kuwait Airways Corp.,9644A,I,KU,Kuwait Airways Corp.,0,0.0,12478,1247802,31703,JFK,"New York, NY",NY,36.0,New York,US,United States,22,12849,1284901,32849,KWI,"Kuwait, Kuwait",,,,KW,Kuwait,644,6,627,1,2015,1,1,13,F,IF,
156,0.0,13.0,1271270.0,3549.0,2843.0,170986.0,0.0,6352.0,0.0,0.0,KU,19616.0,Kuwait Airways Corp.,9644A,I,KU,Kuwait Airways Corp.,0,0.0,12849,1284901,32849,KWI,"Kuwait, Kuwait",,,,KW,Kuwait,644,12478,1247802,31703,JFK,"New York, NY",NY,36.0,New York,US,United States,22,6,627,1,2015,1,1,13,F,IF,
160,0.0,12.0,2435202.0,0.0,0.0,1227794.0,0.0,4458.0,0.0,0.0,MP,20148.0,Martinair Holland N.V.,9461B,I,MP,Martinair Holland N.V.,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,10732,1073203,30732,BQN,"Aguadilla, PR",PR,72.0,Puerto Rico,US,United States,3,7,740,2,2015,1,1,9,G,IF,
161,0.0,30.0,6106078.0,0.0,0.0,3680574.0,0.0,4633.0,0.0,0.0,MP,20148.0,Martinair Holland N.V.,9461B,I,MP,Martinair Holland N.V.,0,0.0,10292,1029202,30292,AMS,"Amsterdam, Netherlands",,,,NL,Netherlands,461,13303,1330303,32467,MIA,"Miami, FL",FL,12.0,Florida,US,United States,33,7,740,2,2015,1,1,10,G,IF,
