Actividad;Tipo_de_Actividad
WOMEN'S ACCESSORY & SPECIALTY STORES;ARTICULOS CONSUMO
VENTA A DIST.RESTAURAC.Y COMIDA RAPIDA;ARTICULOS CONSUMO
SCHOOL,STATIONERY & OFFICE SUPLY STORES;ARTICULOS CONSUMO
RETAIL OPERATING COMPANY;ARTICULOS CONSUMO
MUEBLES,ANTIGUEDADES Y GALERIAS DE ARTE;ARTICULOS CONSUMO
MISCELLANEOUS HOUSE FURNISHING SHOPS;ARTICULOS CONSUMO
MISCELLANEOUS APPAREL & ACCESSORY STORES;ARTICULOS CONSUMO
MARROQUINERIA ART. VIAJES NIVEL 2;ARTICULOS CONSUMO
MARROQUINERIA ART VIAJES NIVEL 3;ARTICULOS CONSUMO
INSURANCE - SALES & UNDERWRITING;ARTICULOS CONSUMO
HIPERMERCADOS (TECNOLOGIA ELECTRONICA);ARTICULOS CONSUMO
HEALTH & BEAUTY SPAS;ARTICULOS CONSUMO
GRUPO ZARA;ARTICULOS CONSUMO
GROCERY STORES, SUPERMARKETS;ARTICULOS CONSUMO
FOTOGRAFIA NIVEL 4;ARTICULOS CONSUMO
FARMACIAS;ARTICULOS CONSUMO
DIRECT MARKETING CONTINUITY/SUBCRIPCION;ARTICULOS CONSUMO
CONFECCION TEXTIL NIVEL 2;ARTICULOS CONSUMO
ALDEASA;ARTICULOS CONSUMO
AUTOM.Y MOTOCICLETAS ( VENTAS Y REPARAC);ARTICULOS CONSUMO
BAZARES, OBJETOS REGALO Y SOUVENIRS;ARTICULOS CONSUMO
BEAUTY SHOPS & BARBER SHOPS;ARTICULOS CONSUMO
CAFETERIAS,SNACKS;ARTICULOS CONSUMO
COMIDA RAPIDA;ARTICULOS CONSUMO
COMPUTERS,COMPUTER PERIPHERAL;ARTICULOS CONSUMO
CONFECCION TEXTIL EN GENERAL;ARTICULOS CONSUMO
DECORACION Y ARQUITECTURA;ARTICULOS CONSUMO
DIRECT MARKETING-CATALOG MERCHANT;ARTICULOS CONSUMO
EXPENDIDURIA OFICIAL DE TABACO;ARTICULOS CONSUMO
FLORES Y PLANTAS;ARTICULOS CONSUMO
FOTOGRAFIA NIVEL 2;ARTICULOS CONSUMO
FOTOGRAFIA,EQUIPOS CINE,OPTICA,INST.MEDI;ARTICULOS CONSUMO
HELADERIA;ARTICULOS CONSUMO
JOYERIAS Y RELOJERIAS;ARTICULOS CONSUMO
JUGUETES, ARTICULOS DEPORTIVOS;ARTICULOS CONSUMO
LIBRERIAS PAPELERIAS NIVEL 4;ARTICULOS CONSUMO
LIBRERIAS, PAPELERIAS Y DISCOS;ARTICULOS CONSUMO
LOUIS VUITTON/LOEWE;ARTICULOS CONSUMO
MARROQUINERIA,ARTICULOS DE VIAJE;ARTICULOS CONSUMO
MEN'S & LADIES CLOTHING STORES;ARTICULOS CONSUMO
PIEL(EXCL.PELETERIAS)ANTE,NAPA Y CUERO;ARTICULOS CONSUMO
PRECIOUS STONES&METALS,WATCHES & JEWELRY;ARTICULOS CONSUMO
SUSCRICPION A CANALES PRIVADOS DE TELEVI;ARTICULOS CONSUMO
VENTA A DIST.DE PRODUCTOS AL POR MENOR;ARTICULOS CONSUMO
VENTA BEBIDAS ALCOHOLICAS;ARTICULOS CONSUMO
VENTA DE EQUIPOS TELEFONICOS;ARTICULOS CONSUMO
VENTA DE SOFTWARE;ARTICULOS CONSUMO
VENTA DIST.LIBROS,DISCOS,VIDEOS ,CD'S;ARTICULOS CONSUMO
VENTAS A BORDO,LINEAS AEREAS Y FERROCARR;ARTICULOS CONSUMO
ZAPATERIAS;ARTICULOS CONSUMO
AGENCIAS BANCARIAS(ANTICIPO VENTANILLA);CAJEROS AUTOMATICOS Y BANCOS
AGRICULTURAL COOPERATIVES;CAJEROS AUTOMATICOS Y BANCOS
CABINAS TELEFONICAS;CABINAS TELEFONICAS
CAJEROS AUTOMATICOS;CAJEROS AUTOMATICOS Y BANCOS
SPORTS APPARELL, RIDING APPAREL STORES;ESPECTACULOS Y DEPORTES
ESPECTACULOS Y DEP NIVEL2;ESPECTACULOS Y DEPORTES
MUSEOS;ESPECTACULOS Y DEPORTES
ESPECTACULOS Y DEPORTES NIVEL 4;ESPECTACULOS Y DEPORTES
GOLF COURSES - PUBLIC;ESPECTACULOS Y DEPORTES
CLUBS DEPORTIVOS;ESPECTACULOS Y DEPORTES
CASINOS;ESPECTACULOS Y DEPORTES
CLUBS,SALAS FIESTA,PUBS,DISCOTECAS,BARES;ESPECTACULOS Y DEPORTES
ESPECTACULOS Y DEPORTES;ESPECTACULOS Y DEPORTES
ESTACIONES DE ESQUI;ESPECTACULOS Y DEPORTES
THEATRICAL PRODUCERS, TICKET AGENCIES;ESPECTACULOS Y DEPORTES
BP OIL;GASOLINERAS
AGIP;GASOLINERAS
C.A.M.P.S.A.;GASOLINERAS
CEPSA;GASOLINERAS
GASOLINERAS;GASOLINERAS
CADENA MEDIA MARKT;GRANDES ALMACENES Y SUPERMERCADOS
LEROY MERLIN;GRANDES ALMACENES Y SUPERMERCADOS
IKEA;GRANDES ALMACENES Y SUPERMERCADOS
G.SUPERFICIES DE FERRETERIA Y BRICOLAJE;GRANDES ALMACENES Y SUPERMERCADOS
CORTEFIEL_( CADENA );GRANDES ALMACENES Y SUPERMERCADOS
CARREFOUR;GRANDES ALMACENES Y SUPERMERCADOS
ART DEALERS & GALLERIES;GRANDES ALMACENES Y SUPERMERCADOS
ARTIST SUPPLU STORES, CRAFT SHOPS;GRANDES ALMACENES Y SUPERMERCADOS
COSMETIC STORES;GRANDES ALMACENES Y SUPERMERCADOS
DECATHLON;GRANDES ALMACENES Y SUPERMERCADOS
DUTY FREE STORES;GRANDES ALMACENES Y SUPERMERCADOS
EL CORTE INGLES;GRANDES ALMACENES Y SUPERMERCADOS
FAMILY CLOTHING STORES;GRANDES ALMACENES Y SUPERMERCADOS
FNAC;GRANDES ALMACENES Y SUPERMERCADOS
GRAN ALMACEN (A);GRANDES ALMACENES Y SUPERMERCADOS
HOME SUPPLY WAREHOUSE STORES;GRANDES ALMACENES Y SUPERMERCADOS
RECORD SHOPS;GRANDES ALMACENES Y SUPERMERCADOS
VIPS;GRANDES ALMACENES Y SUPERMERCADOS
BUSINESS SERVICES NOT CLASSIFIED;NO CLASIFICADO
;NO CLASIFICADO
RESTAURANTE 4/5 TENEDORES NIVEL 4;RESTAURANTES
RESTAURANTE 4/5 TENEDORES NIVEL 2;RESTAURANTES
RESTAURANTE 4/5 TENEDORES NIVEL 3;RESTAURANTES
RESTAURANTE RESTO NIVEL 2;RESTAURANTES
RESTAURANTE RESTO NIVEL 4;RESTAURANTES
RESTAURANTES DE 4 Y 5 TENEDORES;RESTAURANTES
RESTAURANTES RESTO;RESTAURANTES
MEDICAL SERVICES & HEALTH PRACTITIONERS;SALUD
HOSPITALES,SANATORIOS Y CONSULTAS MEDIC;SALUD
